,leaf_index,leaf_value,leaf_weight,leaf_count,tree_index,split_index,depth,split_feature,split_gain,threshold,decision_type,default_left,missing_type,internal_value,internal_weight,internal_count
63,32,0.04203460023510821,28.14571025967598,60,1,31,4,32,7.4852399826049805,-0.010602366999759548,<=,True,NaN,0.0385525,50.3967,121
64,29,0.038835555720539976,13.734623551368712,33,1,29,4,22,18.579200744628906,-0.0027014984632258996,<=,False,NaN,0.0301191,31.1724,96
65,30,0.023213921771676867,17.437813937664036,63,1,29,4,22,18.579200744628906,-0.0027014984632258996,<=,False,NaN,0.0301191,31.1724,96
66,0,0.008634393029831808,13.740367636084558,64,2,14,6,28,22.608200073242188,86.50000000000001,<=,True,NaN,0.0172788,25.0701,100
67,15,0.027725946746404367,11.329714968800543,36,2,14,6,28,22.608200073242188,86.50000000000001,<=,True,NaN,0.0172788,25.0701,100
68,14,-0.0031995649077946643,8.953716367483137,50,2,13,5,28,27.6924991607666,101.50000000000001,<=,True,NaN,0.0118911,34.0238,150
69,13,0.028882688599897684,11.012228965759276,34,2,12,4,42,24.003000259399414,495.50000000000006,<=,False,NaN,0.0160579,45.036,184
70,3,0.015902039582355917,16.0648902207613,66,2,6,4,28,32.66680145263672,72.50000000000001,<=,True,NaN,0.0292772,128.972,388
71,7,0.03997473190575889,22.100746735930443,48,2,30,8,23,13.40779972076416,0.5663194444444445,<=,True,None,0.0342239,47.8823,125
72,31,0.02638667466092274,18.0987678617239,58,2,32,9,17,4.7584099769592285,0.027031784720159054,<=,False,NaN,0.0292646,25.7816,77
73,33,0.0359504508417023,7.682796686887744,19,2,32,9,17,4.7584099769592285,0.027031784720159054,<=,False,NaN,0.0292646,25.7816,77
74,30,0.04189186113918391,19.028883785009384,38,2,29,7,42,7.725629806518555,211.25000000000003,<=,False,NaN,0.0364175,66.9112,163
75,17,0.022067016617781557,14.371441692113875,51,2,16,6,21,24.145099639892578,1.0000000180025095e-35,<=,True,None,0.0338868,81.2826,214
76,16,0.017240998138601228,16.715096428990368,66,2,21,6,25,16.946800231933594,391.00000000000006,<=,False,NaN,0.024193,31.6244,108
77,22,0.03195045406588656,14.90930177271366,42,2,21,6,25,16.946800231933594,391.00000000000006,<=,False,NaN,0.024193,31.6244,108
78,1,0.01591527300910745,10.214898943901064,42,2,9,6,13,28.302900314331055,199.50000000000003,<=,False,NaN,0.00231725,30.8743,160
79,10,-0.0124000724076184,9.43032383918762,60,2,27,7,27,11.096199989318848,1.9442282604537902,<=,False,NaN,-0.00441588,20.6594,118
80,28,0.0023003645513873646,11.229087963700296,58,2,27,7,27,11.096199989318848,1.9442282604537902,<=,False,NaN,-0.00441588,20.6594,118
81,9,0.01585954543174753,11.695687741041189,48,2,28,7,35,10.688799858093262,28.050000190734867,<=,False,NaN,0.0095662,20.6864,95
82,29,0.0013608991219738787,8.990725159645079,47,2,28,7,35,10.688799858093262,28.050000190734867,<=,False,NaN,0.0095662,20.6864,95
83,12,0.02933582147842319,8.906618431210516,27,2,11,6,27,24.330299377441406,-0.20666256506683017,<=,True,NaN,0.0155335,29.593,122
84,4,0.01910188529044739,17.063138082623485,66,2,7,6,13,28.866500854492188,255.50000000000003,<=,True,NaN,0.0104257,30.7913,140
85,8,-0.0003714211123422342,13.72812086343765,74,2,7,6,13,28.866500854492188,255.50000000000003,<=,True,NaN,0.0104257,30.7913,140
86,5,-0.012424148075773245,7.760260418057446,49,2,20,9,40,34.852901458740234,1.0000000180025095e-35,<=,True,None,0.00286384,16.2223,83
87,21,0.01687986225878293,8.462037339806557,34,2,20,9,40,34.852901458740234,1.0000000180025095e-35,<=,True,None,0.00286384,16.2223,83
88,20,0.01884097466824498,13.223935112357138,51,2,19,8,28,18.60300064086914,95.50000000000001,<=,False,NaN,0.0100476,29.4462,134
89,11,0.016683987098224374,12.773052498698236,51,2,23,8,17,15.488699913024902,0.011009163500479901,<=,True,NaN,0.0242092,23.7054,81
90,24,0.03295083618815446,10.932370588183401,30,2,23,8,17,15.488699913024902,0.011009163500479901,<=,True,NaN,0.0242092,23.7054,81
91,6,0.018376568251268082,12.079135760664938,47,2,24,7,18,14.214900016784668,9.250000000000002,<=,False,NaN,0.0282431,66.1427,206
92,25,0.023342287794330605,19.661220476031303,69,2,25,8,13,15.326600074768066,216.50000000000003,<=,False,NaN,0.0304392,54.0635,159
93,26,0.04027541544192683,18.050373286008835,39,2,26,9,23,12.616600036621094,3.623958333333334,<=,True,None,0.0344778,34.4023,90
94,27,0.028033030271360768,16.351924136281013,51,2,26,9,23,12.616600036621094,3.623958333333334,<=,True,None,0.0344778,34.4023,90
95,2,-0.012372152858005222,8.43561154603958,54,2,17,4,28,20.685300827026367,81.50000000000001,<=,True,NaN,0.00146244,38.8288,206
96,18,0.023907527048750196,7.9686142057180405,28,2,22,6,16,15.761099815368652,-0.08350051565977303,<=,False,NaN,0.0135361,17.5452,76
97,23,0.004871488173487189,9.57661828398705,48,2,22,6,16,15.761099815368652,-0.08350051565977303,<=,False,NaN,0.0135361,17.5452,76
98,19,-0.01235095873443918,6.849413290619848,44,2,31,6,25,6.074739933013916,24.85000038146973,<=,True,NaN,-0.00593145,12.8479,76
99,32,0.0014168215935430523,5.998522445559502,32,2,31,6,25,6.074739933013916,24.85000038146973,<=,True,NaN,-0.00593145,12.8479,76
100,0,-0.008534260872761653,10.627623215317724,64,3,10,6,28,42.452301025390625,75.50000000000001,<=,True,NaN,0.00878665,42.8831,199
101,11,0.024008445363087765,15.893535047769545,55,3,11,7,33,28.406400680541992,25.450000000000003,<=,False,NaN,0.0144955,32.2554,135
102,12,0.015201871319730888,8.971012428402902,37,3,17,8,8,19.791500091552734,96.50000000000001,<=,False,NaN,0.00523525,16.3619,80
103,18,-0.006871301449818472,7.3908821642398825,43,3,17,8,8,19.791500091552734,96.50000000000001,<=,False,NaN,0.00523525,16.3619,80
104,10,0.028614210569354443,9.063452392816542,28,3,9,5,4,29.442699432373047,0.009878420396278302,<=,True,NaN,0.0122566,51.9465,227
105,6,-0.00552104563295888,6.0137717723846436,35,3,31,6,32,1.7309900522232056,-0.005941971872226049,<=,False,NaN,-0.00974575,15.4725,95
106,32,-0.012412946348632208,9.45868147909641,60,3,31,6,32,1.7309900522232056,-0.005941971872226049,<=,False,NaN,-0.00974575,15.4725,95
107,15,0.01840758609142571,6.697466015815735,26,3,20,7,27,42.36840057373047,-1.3935412071948445,<=,False,NaN,-0.00203255,19.8613,109
108,21,-0.012445258077522253,13.163838610053064,83,3,20,7,27,42.36840057373047,-1.3935412071948445,<=,False,NaN,-0.00203255,19.8613,109
109,20,0.012205719970678122,16.7747101187706,73,3,19,6,4,18.453899383544922,0.1156132263491381,<=,True,NaN,0.00449017,36.636,182
110,2,0.028294283965922064,17.239594608545303,52,3,18,7,8,19.17959976196289,82.50000000000001,<=,False,NaN,0.0203087,40.3635,147
111,19,0.005936726117024393,11.229795634746553,54,3,21,8,4,15.331999778747559,-0.03821228130655429,<=,True,NaN,0.0143342,23.1239,95
112,22,0.022237248368648134,11.894092008471487,41,3,21,8,4,15.331999778747559,-0.03821228130655429,<=,True,NaN,0.0143342,23.1239,95
113,7,0.015452619578456894,8.88000623881817,36,3,7,7,33,31.82990074157715,25.80831510631432,<=,False,NaN,0.00264858,16.4024,83
114,8,-0.012467292740224798,7.52237071096897,47,3,7,7,33,31.82990074157715,25.80831510631432,<=,False,NaN,0.00264858,16.4024,83
115,4,0.019045320423734066,11.81451201438904,45,3,26,7,22,10.702300071716309,-0.004152865721528849,<=,True,NaN,0.0130957,19.4255,83
116,27,0.0038321941005152313,7.6109663248062125,38,3,26,7,22,10.702300071716309,-0.004152865721528849,<=,True,NaN,0.0130957,19.4255,83
117,5,0.02965590887533247,13.736713200807573,40,3,29,9,4,4.2365899085998535,-0.0027544157434386493,<=,True,NaN,0.0339033,30.3223,78
118,30,0.037377656642161305,16.585564389824867,38,3,29,9,4,4.2365899085998535,-0.0027544157434386493,<=,True,NaN,0.0339033,30.3223,78
